time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-05-27 20:14:41.461 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , ,2,2,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , , , ,63879752,1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:15:41.462 UTC, ,589,3173597,1184,26944,336, ,4, ,11, , , , , , , , , ,4,4, , , , ,1,7, ,1, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , ,4,1,4,2,4, , ,3,4, , , , , , , , , , , ,4096,2,16479,4, , , , ,1,18,2,14,91576928,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:16:41.463 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:17:41.465 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:18:41.467 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:19:41.471 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:20:41.474 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:21:41.475 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:22:41.477 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:23:41.478 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-05-27 20:24:41.481 UTC, ,589,3173597,1184,26944,336, ,4, , , , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464380081307,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,91576928,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
