time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-06-01 20:34:11.282 UTC, ,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464813251065,3145728, , , , ,2,1,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , , , ,39099768,2, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-06-01 20:34:11.473 UTC, ,589,3180637,1392,34320, , ,6, ,40, , , , , , , , , ,6,6, , , , ,2,9, ,1, , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464813251065,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,65961184,2, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, ,2, ,2, , , , , , , , , , , , , , , , , , , , , 
2016-06-01 20:34:18.431 UTC, ,125,3160557,1392,14704, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,18,6, , , , , , , , , , , , , ,20212,2, ,18478, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464813258213,3145728, , , ,14, , , ,2, , , ,3, , , , ,14, ,2048,1, , , , ,120832,26, , , , , , , , , , ,39178936,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-06-01 20:34:18.622 UTC, ,589,3177397,1392,31080, , ,5, ,33,2,0.06, , , , , , , ,5,5, , , ,2,1,8, ,29,14, , , , , , , , , , , , , ,20212,2, ,18478, , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464813258213,3145728, , , ,18, , , ,1, , , ,3, , , , ,18,1, , , , , ,1,47437,20, , , , , , , , , , ,67108864,2, , , , , , ,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-06-01 20:34:48.631 UTC, ,125,3158085,928,12232, , ,3, ,16,3,0.19, , , , , , , ,3,3, ,2, ,2,1,5, ,12,4, , , , , , , , , , , , , ,21643,3, ,20934, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464813288418,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,116736,24, , , , , , , , , , ,39139568,2, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-06-01 20:34:50.534 UTC, ,174175,24795439,2432,21475536, , ,2996, ,307607,3,0.00, , , , , , , ,2996,50, , , ,1540,1497,7, ,1620,19, , , , , , , , , , ,280730, , ,8590661025,4,20014199,8589969725,1,130,100,132, , ,39, , , , , ,1221,78120,1, ,1004,76,928,3216,34034,36938,3, , ,36934,36955, , , , , , , , ,1464813288418,3145728, , , ,25,1,35,1,9,1, , ,3,4, , , ,25,1,92160,12,9272646,12, ,1,9982285,1241,21751076,22, , , , , , ,5,37,220767368,2, , , , , , ,238559, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , ,99990, ,1, , , , , , , , , , , , , , , , , , , , , , , 
2016-06-01 20:37:28.600 UTC, ,375,3162415,2224,16312, , ,3, ,55,3,0.05, , , , , , , ,3,3, ,11, ,2,1,5, ,36,8, , , , , , , , , , , , , ,12888330143,6,33427466,12888329354,1, ,2,4, , ,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464813448275,3145728, , , ,16,1,1,1,5,1, , ,3,2, , , ,16, ,67584,15,905,1, ,1,19947959,1898, , , , , , , , , , ,51260152,2, , , , , , ,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-06-01 20:37:30.657 UTC, ,595591,20419295,2328,16677976, , ,2055,735,203275,1532,0.01, , , , , , , ,2055,37, , ,700,1528,555,9, ,201501,100007, , , , , , , , , , ,202385,31, ,12888330143,6,33427466,12888329354, , , , , , ,38, , , , , ,1221,74200,1, ,1104, ,1104,3108,33803,34994, , , ,34994,34993, , , , , , , , ,1464813448275,3145728, , , ,78435, ,9, ,10, , , ,3,1, , , ,104468,3,10398026,4003,8668729,10, ,141,160618324,75800,1048538,1, , , , , , ,8,51,137314968,2, , , , , , ,336493, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,100000, , , , ,1, , , , , , , ,4147, ,4147, , , , , , , , , , , , , 
2016-06-01 21:05:52.428 UTC, ,375,3161415,2096,15312, , ,3,1,44,3,0.07, , , , , , , ,3,3, ,8,1,2,1,5, ,30,7, , , , , , , , , , , , , ,17187630337,8,47760181,17187629365,1, ,2,4, , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1464815152054,3145728, , , ,16,1,1,1,6,1, , ,3,2, , , ,16, ,176128,16,1088,1, ,3,37431161,3526, , , , , , , , , , ,59623216,2, , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-06-01 21:05:55.045 UTC, ,212823,21999855,2848,18641304, , ,2441,29,212854,1526,0.01, , , , , , , ,2441,50, , , ,1540,941,13, ,212830,100015, , , , , , , , , , ,211150,44, ,17187630337,8,47760181,17187629365, , , , , , ,36,29, ,29,830, ,1723,182282,2, ,958, ,958,3542,5,11, , , ,10,176904, , , , , , , , ,1464815152054,3145728, , , ,103080, ,3, ,8, , , ,3,1, , , ,103083,3,19154944,4538,6432924,8, ,143,212540241,100414,1048498,1, , , , , , ,6,45,342559296,2, , , , , , ,312827, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,100000, , , , ,10001, , , , , , , , , , , , , , , , , , , , , , , 
